"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11732","navigate to form page @smoke @regression","chromium","2025-12-11","passed","2025-12-11","","tests\001-usePageObjects.spec.ts","",""
"","3133","parameterized methods @smoke","chromium","2025-12-11","passed","2025-12-11","","tests\001-usePageObjects.spec.ts","",""
